No.,Description,Description 2,Base Unit of Measure,Unit Price,Days to Expire,Days to Sell,Brand,Size Description,Storage Type,Sales to Retail Conv. Factor
19192J,PICKLED SUSHI GINGER (NATURAL _2#),내추럴색 스시 생강 (2#),CS,0,680,90,UNBRANDED,10X2 LB,Ref,10
19193J,PICKLED SUSHI GINGER (NATURAL_1.1#),내추럴색 스시 생강 (1.1#),CS,0,680,90,UNBRANDED,20X1.1 LB,Ref,20
19212K,PICKLED SCALLION (RAKKYO_ BTL_ 18 OZ),락교 (BTL_ 18 OZ),CS,63,280,90,ASSI,12X18 OZ,Ref,12
19219K,CHESTNUT IN SYRUP,맛밤,CS,163,460,90,ASSI,40X8.8 OZ,Ref,40
19234K,BLACK BEAN NOODLES (JJAJANGMYEON),직화 볶음 짜장면,CS,53,280,90,YISSINE,12X22.5 OZ,Ref,12
19235K,HOT & SPICY SEAFOOD NOODLES (JJAMPPONG),직화 얼큰 짬뽕,CS,50,280,90,YISSINE,12X15.6 OZ,Ref,12
19252J,PICKLED KIMCHI RADISH,김치 다꾸앙,BX,55,280,90,TOKAI,2X20X7 OZ,Ref,20
19254J,BANCHAN AJI KIMCHI,반찬 아지 김치,BX,13.8,280,90,TOKAI,8X10X4.59 OZ,Ref,10
19270J,MAYONNAISE (15.72 OZ),마요네즈 (15.72 OZ),CS,102,285,90,QP,20X15.72 OZ,Ref,20
19271J,MAYONNAISE (17.6 OZ_20023),마요네즈 (17.6 OZ),CS,110,280,90,QP,20X17.6 OZ,Dry,20
19273K,WHOLE PICKLED RADISH (1P),통단무지 (1P),CS,50,460,90,MATSARANG,24X17.6 OZ,Ref,24
19274K,PICKLED RADISH (4P),김밥용 단무지 (4P),CS,53,460,90,MATSARANG,15X2.2 LB,Ref,15
19275K,WHITE WHOLE PICKLED RADISH (1P),백 통단무지 (1P),CS,50,460,90,MATSARANG,24X17.6 OZ,Ref,24
19276K,WHITE PICKLED RADISH (4P),김밥용 백 단무지 (4P),CS,48,460,90,MATSARANG,15X2.2 LB,Ref,15
19277K,SLICED PICKLED RADISH,실속 썰은 단무지,CS,50,460,90,MATSARANG,15X2.2 LB,Ref,15
19278K,SLICED PICKLED RADISH ,김밥용 썰은 단무지,CS,59,460,90,MATSARANG,15X2.2 LB,Ref,15
19300K,PICKLED RADISH CUBE FOR FRIED CHICKEN,치맥무,CS,0,260,60,YISSINE,18X8.1 OZ,Ref,18
19323J,SALTED JELLYFISH,해파리,CS,153,640,90,HANA,15X2 LB,Ref,15
19324J,SALTED JELLYFISH (CHINA_30#),해파리 벌크,CS,102,640,90,HANA,30 LB,Ref,1
19328K,STICK MAN FISH CAKE (10P),스틱맨 소시지 (10P),CS,108,280,90,ASSI,30X12.3 OZ,Ref,30
19333K,CHAMPION FISH PASTE,참피온 소세지,CS,47,280,90,DAERIM,20X1.1 LB,Ref,20
19336K,STICK FISH CAKE (8P),내친구 짱 (8P),CS,53,280,90,ASSI,15X11.28 OZ,Ref,15
19339K,BIG STICK FISH CAKE (5P),스틱맨 빅 소시지 (5P),CS,60,280,90,ASSI,15X12.34 OZ,Ref,15
19340K,MINI FISH CAKE (16P),스틱맨 미니 소시지 (16P),CS,65,280,90,ASSI,15X9.59 OZ,Ref,15
19341K,PICKLED RADISH WRAP (SOUR),쌈무 (새콤한맛),CS,45,280,90,DAERIM,18X12.3 OZ,Ref,18
19342K,PICKLED RADISH WRAP (WASABI),쌈무 (와사비맛),CS,44,280,90,DAERIM,18X12.3 OZ,Ref,18
19343K,PICKLED RADISH WRAP (SOUR),쌈무 (새콤한 맛),CS,0,320,60,EUDDEUM,24X10.58 OZ,Ref,24
19344K,PICKLED RADISH WRAP (WASABI),쌈무 (와사비 맛),CS,0,320,60,EUDDEUM,24X10.58 OZ,Ref,24
19346K,PICKLED WHOLE RADISH (2.2#_3-4P),김밥용 단무지 (2.2#_3-4P),CS,63,460,90,YISSINE,15X2.2 LB,Ref,15
19347K,PICKLED WHOLE RADISH (1.1#_1P),김밥용 통 단무지 (1.1#_1P),CS,55,460,90,YISSINE,24X1.1 LB,Ref,24
19351K,SLICED PICKLED RADISH (SILSOK_2.2#),썰은 단무지 (2.2#),CS,64,280,90,ASSI,15X2.2 LB,Ref,15
