No.,Description,Description 2,Base Unit of Measure,Unit Price,Days to Expire,Days to Sell,Brand,Size Description,Storage Type,Sales to Retail Conv. Factor
00002D,PREMIUM MEDIUM GRAIN RICE (15#_NEW),쌀 (15#_NEW),BG,14.9,600,90,HANKUKMI,15 LB,Dry,1
00002E,EXTRA FANCY RICE (15#) ,쌀 (15#),BG,9.4,700,90,HANKUKMI,15 LB,Dry,1
00003D,EXTRA FANCY RICE (10#_SUSHI RICE),스시 쌀 (10#),CS,43,690,90,HANKUKMI,4X10 LB,Dry,4
00004D,EXTRA FANCY RICE (5#_SUSHI RICE),스시 쌀 (5#),CS,51,690,90,HANKUKMI,8X5 LB,Dry,8
00007D,PREMIUM MEDIUM GRAIN RICE (40#_NEW),쌀 (40#_NEW),BG,36,690,90,HANKUKMI,40 LB,Dry,1
00007E,EXTRA FANCY RICE (40#),쌀 (40#),BG,27,700,90,HANKUKMI,40 LB,Dry,1
00009D,PREMIUM GOLD SHORT GRAIN RICE (18#_NEW),골드 쌀 (18#_NEW),BG,23,690,90,KINMAI,18 LB,Dry,1
00010D,EXTRA FANCY SWEET RICE (50#),찹쌀 (50#),BG,52,690,90,HANKUKMI,50 LB,Dry,1
00011D,EXTRA FANCY SWEET RICE (15#),찹쌀 (15#),CS,0,351,90,HANKUKMI,15 LB,Dry,1
00012D,EXTRA FANCY BROWN RICE (15#),현미 (15#),BG,14.7,690,90,RHEECHUN,15 LB,Dry,1
00013D,EXTRA FANCY SWEET RICE (10#_PAPER),찹쌀 (10#),CS,50,690,90,HANKUKMI,4X10 LB,Dry,4
00014D,EXTRA FANCY SWEET RICE (5#_PAPER),찹쌀 (5#),CS,56,690,90,HANKUKMI,8X5 LB,Dry,8
00015D,SPROUTED BROWN RICE (15#_ NEW),발아 현미 (15#),BG,18,690,90,RHEECHUN,15 LB,Dry,1
00016D,SWEET RICE (5#),찹쌀 (5#),CS,51,690,90,RHEECHUN,9X5 LB,Dry,9
00018D,PREMIUM BROWN SWEET RICE (15#),현미찹쌀 (15#),CS,0,351,90,HANKUKMI,15 LB,Dry,1
00019D,EXTRA FANCY BROWN SWEET RICE (10#),현미찹쌀 (10#),CS,43,690,90,HANKUKMI,4X10 LB,Dry,4
00020D,EXTRA FANCY BROWN SWEET RICE (5#),현미찹쌀 (5#),CS,60,690,90,HANKUKMI,8X5 LB,Dry,8
00021D,EXTRA FANCY BROWN RICE (15#),현미 (15#),CS,0,351,90,HANKUKMI,15 LB,Dry,1
00022D,EXTRA FANCY BROWN RICE (10#),현미 (10#),CS,32,690,90,HANKUKMI,4X10 LB,Dry,4
00023D,EXTRA FANCY BROWN RICE (5#),현미 (5#),CS,54,690,90,HANKUKMI,8X5 LB,Dry,8
00024D,PREMIUM GRADE BROWN RICE (2#),현미 (2#),CS,39,690,90,RHEECHUN,16X2 LB,Dry,16
00025D,PREMIUM SWEET RICE (15#),찹쌀 (15#),BG,14.2,690,90,RHEECHUN,15 LB,Dry,1
00026D,PREMIUM BROWN SWEET RICE (15#),현미찹쌀 (15#),BG,15,690,90,RHEECHUN,15 LB,Dry,1
00027D,PREMIUM SWEET RICE (15#),찹쌀 (15#),BG,15,640,90,MYOUNGGA,15 LB,Dry,1
00028D,PREMIUM SWEET RICE (5#),찹쌀 (5#),CS,63,640,90,MYOUNGGA,10X5 LB,Dry,10
00029D,EXTRA FANCY SWEET RICE (50#),찹쌀 (50#),BG,40,700,90,RHEECHUN,50 LB,Dry,1
00030D,FANCY VARIETY RICE (15#_NEW),쌀 (15#_NEW),BG,12.3,690,90,RHEECHUN,15 LB,Dry,1
00030E,FANCY VARIETY RICE (15#),쌀 (15#),BG,10.3,700,90,RHEECHUN,15 LB,Dry,1
00031D,FANCY VARIETY RICE (50#_NEW),쌀 (50#_NEW),BG,35,690,90,RHEECHUN,50 LB,Dry,1
00031E,FANCY VARIETY RICE (50#),쌀 (50#),BG,35,700,90,RHEECHUN,50 LB,Dry,1
00032D,FANCY VARIETY RICE (20#_NEW),쌀 (20#_NEW),BG,13.5,690,90,RHEECHUN,20 LB,Dry,1
00033D,FANCY VARIETY RICE (40#_NEW),쌀 (40#_NEW),BG,27,690,90,RHEECHUN,40 LB,Dry,1
00033E,FANCY VARIETY RICE (40#),쌀 (40#),BG,26,700,90,RHEECHUN,40 LB,Dry,1
00035D,FANCY VARIETY RICE (5#),쌀 (5#),CS,51,690,90,RHEECHUN,8X5 LB,Dry,8
00036D,PREMIUM GRADE SUSHI RICE (2#),쌀 (2#),CS,39,690,90,RHEECHUN,16X2 LB,Dry,16
00050D,ORGANIC SUSHI RICE (15#),유기농 쌀 (15#),BG,34,690,90,HANKUKMI,15 LB,Dry,1
00051D,ORGANIC SUSHI RICE (3#),유기농 쌀 (3#),CS,60,690,90,HANKUKMI,8X3 LB,Dry,8
00053D,ORGANIC BROWN SWEET RICE (3#),유기농 현미찹쌀 (3#),CS,61,690,90,HANKUKMI,8X3 LB,Dry,8
00054D,ORGANIC BROWN RICE (3#),유기농 현미 (3#),CS,60,690,90,HANKUKMI,8X3 LB,Dry,8
00057D,ORGANIC BROWN RICE (15#),유기농 현미 (15#),BG,35,690,90,HANKUKMI,15 LB,Dry,1
00060D,NUTRA-GRAIN RICE (15#_NEW),쌀눈이 가득한 쌀 (15#_NEW),BG,21,690,90,HANKUKMI,15 LB,Dry,1
00061D,NUTRA-GRAIN RICE (5#),쌀눈이 가득한 쌀 (5#),CS,41,690,90,HANKUKMI,6X5 LB,Dry,6
00066D,SELECT MEDIUM GRAIN RICE (40#),쌀 (셀렉트_ 40#),BG,26,700,90,UNBRANDED,40 LB,Dry,1
00072D,SUSHI RICE (15#_NEW),쌀 (15#_NEW),BG,10.8,690,90,RYKOFFSEXTON,15 LB,Dry,1
00073D,SAMCHEOK DONGJA FRESH RICE (22#),삼척동자 맑은 쌀 (22#),BG,27,285,90,CHEONGAGOODFOOD,22 LB,Dry,1
00074D,GOOD RICE BRAND (22#),참 좋은 맛드림 (22#),BG,27,285,90,CHEONGAGOODFOOD,22 LB,Dry,1
00075D,GOOD RICE BRAND (44#),참 좋은 맛드림 (44#),BG,53,285,90,CHEONGAGOODFOOD,44 LB,Dry,1
00080D,BLACK RICE (5#),검정쌀 (5#),CS,131,460,90,ASSI,10X5 LB,Dry,10
00081D,SWEET RICE (30 OZ),찹쌀 (30 OZ),CS,113,640,90,ASSI,24X30 OZ,Dry,24
00087D,MIXED GRAIN RICE (GEONGANG JABGOK_3#),몸에좋은 건강 잡곡 (3#),CS,110,640,90,YISSINE,15X3 LB,Dry,15
00091D,WILD SWEET RICE (50#),야생 찹쌀 (50#),BG,48,640,90,HANKUKMI,50 LB,Dry,1
00092D,WILD SWEET RICE (2#),야생 찹쌀 (2#),CS,82,640,90,HANKUKMI,25X2 LB,Dry,25
00093D,WILD SWEET RICE (5#),야생 찹쌀 (5#),CS,79,640,90,HANKUKMI,10X5 LB,Dry,10
00094D,12 GRAIN RICE (OHAENG JABGOK_5#),오행 잡곡 (5#),CS,103,640,90,ASSI,10X5 LB,Dry,10
00097D,BLACK RICE (30 OZ),검정쌀 (30 OZ),CS,105,640,90,ASSI,25X30 OZ,Dry,25
00098D,BLACK RICE (4#),검정쌀 (4#),CS,99,460,90,ASSI,10X4 LB,Dry,10
00099D,12 GRAIN RICE (OHAENG JABGOK_10#),오행 잡곡 (10#),CS,110,640,90,ASSI,5X10 LB,Dry,5
01009D,THAI BROKEN SWEET RICE (50#),태국 브로큰 찹쌀 (50#),BG,24,650,90,UNBRANDED,50 LB,Dry,1
01012D,SWEET RICE (10#),찹쌀 (10#),CS,94,690,90,KODA,6X10 LB,Dry,6
01015D,SWEET RICE (5#_PL),찹쌀 (5#),CS,24,690,90,HANKUKMI,6X5 LB,Dry,6
01020D,THAI SWEET RICE (5#),태국 찹쌀 (5#),CS,47,640,90,THREEELEPHANTS,10X5 LB,Dry,10
01021D,THAI SWEET RICE (20#),태국 찹쌀 (20#),BG,18,640,90,THREEELEPHANTS,20 LB,Dry,1
01023D,SWEET RICE (5#),건강 찹쌀 (5#),CS,32,640,90,MATSARANG,10X5 LB,Dry,10
01024D,SWEET RICE (10#),건강 찹쌀 (10#),CS,40,640,90,MATSARANG,5X10 LB,Dry,5
01025D,SWEET RICE (20#),건강 찹쌀 (20#),BG,20,640,90,MATSARANG,20 LB,Dry,1
01027D,THAI JASMINE RICE GOLD (20#),자스민 라이스 골드 (20#),CS,38,640,90,THREEELEPHANTS,2X20 LB,Dry,2
01029D,THAI JASMINE RICE (20#),자스민 라이스 (20#),BG,15,640,90,THREEELEPHANTS,20 LB,Dry,1
01030D,THAI JASMINE RICE (50#),자스민 라이스 (50#),BG,37,640,90,THREEELEPHANTS,50 LB,Dry,1
01031D,THAI JASMINE RICE GOLD (10#),자스민 라이스 골드 (10#),CS,47,640,90,THREEELEPHANTS,5X10 LB,Dry,5
01032D,BROWN RICE (5#_PL),현미 (5#),CS,76,510,90,HANKUKMI,10X5 LB,Dry,10
01033D,THAI JASMINE RICE (5#),자스민 라이스 (5#),CS,41,640,90,THREEELEPHANTS,10X5 LB,Dry,10
01034D,BROWN SWEET RICE (5#_PL),현미찹쌀 (5#),CS,34,690,90,HANKUKMI,6X5 LB,Dry,6
01038D,BROWN RICE (USA_50#),현미 (50#),BG,35,690,90,UNBRANDED,50 LB,Dry,1
01039D,RED BEAN (CHINA_50#),팥 (50#),BG,134,460,90,ASSI,50 LB,Dry,1
01041D,RED BEAN (5#),팥 (5#),CS,149,460,90,ASSI,10X5 LB,Dry,10
01043D,PRESSED BARLEY (30 OZ),납작보리 (30 OZ),CS,110,690,90,ASSI,25X30 OZ,Dry,25
01044D,PRESSED BARLEY (5#),납작보리 (5#),CS,76,690,90,ASSI,10X5 LB,Dry,10
01045D,12 GRAIN RICE (OHAENG JABGOK_30 OZ),오행 잡곡 (30 OZ),CS,106,640,90,ASSI,24X30 OZ,Dry,24
01047D,BROWN JASMINE RICE (15#),자스민 현미 (15#),BG,14.4,640,90,THREEELEPHANTS,15 LB,Dry,1
01048D,BROWN JASMINE RICE (5#),자스민 현미 (5#),CS,39,640,90,THREEELEPHANTS,10X5 LB,Dry,10
01049D,SOYBEAN (60#),메주콩 벌크 (60#),BG,45,330,90,UNBRANDED,60 LB,Dry,1
01054D,SOYBEAN (10#),메주콩 (10#),CS,102,640,90,ASSI,5X10 LB,Dry,5
01060K,BLACK BEAN (CHINA_50#),검정콩 (50#),CS,104,460,90,ASSI,50 LB,Dry,1
01061D,BLACK BEAN W/GREEN KERNEL(CHINA_SEORITAE_50#),서리태 (속푸른 콩_50#),CS,114,460,90,UNBRANDED,50 LB,Dry,1
01063D,PEELED MUNG BEAN (4#),깐녹두 (4#),CS,53,640,90,ASSI,10X4 LB,Dry,10
01064D,WHOLE MUNG BEAN (55#),통녹두 벌크 (55#),BG,60,640,90,UNBRANDED,55 LB,Dry,1
01066D,WHOLE MUNG BEAN (30 OZ),통녹두 (30 OZ),CS,70,640,90,ASSI,30X30 OZ,Dry,30
01067D,BLACK BEAN (5#),검정콩 (5#),CS,120,460,90,ASSI,10X5 LB,Dry,10
01070D,RED BEAN (CHINA_50#),팥 (50#),BG,78,730,90,UNBRANDED,50 LB,Dry,1
01073D,HALF SPLIT MUNG BEAN (30 OZ),타갠 녹두 (30 OZ),CS,151,640,90,ASSI,30X30 OZ,Dry,30
01076D,BROKEN SWEET RICE (USA_ 50#),브로큰 찹쌀 (50#),BG,24,690,90,UNBRANDED,50 LB,Dry,1
01077D,BROKEN RICE (USA_50#),브로큰 쌀 (50#),BG,28,690,90,UNBRANDED,50 LB,Dry,1
01078D,THAI BROKEN JASMINE RICE (20#),브로큰 자스민 라이스 (20#),BG,14.5,640,90,THREEELEPHANTS,20 LB,Dry,1
01079V,JASMINE RICE (20#),자스민 라이스 (20#),BG,15,640,90,VIETWAY,20 LB,Dry,1
01081D,PEELED HALF SPLIT MUNG BEAN (55#),깐녹두 벌크 (55#),BG,67,640,90,UNBRANDED,55 LB,Dry,1
01082D,PEELED HALF SPLIT MUNG BEAN (14 OZ),깐녹두 (14 OZ),CS,50,640,90,EMPEROR,36X14 OZ,Dry,36
01083D,PEELED HALF SPLIT MUNG BEAN (30 OZ),깐녹두 (30 OZ),CS,78,640,90,ASSI,30X30 OZ,Dry,30
01088V,JASMINE RICE (5#),자스민 라이스 (5#),CS,26,640,90,VIETWAY,10X5 LB,Dry,10
01090D,WHOLE BARLEY (USA_50#),통보리 벌크 (50#),BG,48,690,90,UNBRANDED,50 LB,Dry,1
01094K,JOBS TEARS (3#),율무 (3#),CS,94,640,90,ASSI,15X3 LB,Dry,15
01095D,PRESSED BARLEY (USA_50#),납작보리 벌크 (50#),BG,57,690,90,UNBRANDED,50 LB,Dry,1
01096D,WHOLE BARLEY (10#),통보리 (10#),CS,57,510,90,ASSI,5X10 LB,Dry,5
01100V,JASMINE RICE (50#),자스민 라이스 (50#),BG,30,640,90,VIETWAY,50 LB,Dry,1
01103D,PRESSED BARLEY (10#),납작보리 (10#),CS,67,510,90,ASSI,5X10 LB,Dry,5
01106D,YELLOW SESAME SEEDS (50#),참깨 벌크 (50#),BG,147,460,90,UNBRANDED,50 LB,Dry,1
01107D,SESAME SEEDS (24 OZ),참깨 (24OZ),CS,0,500,90,ASSI,30X24 OZ,Dry,30
01108D,YELLOW SESAME SEEDS (4#),참깨 (4#),CS,128,460,90,ASSI,10X4 LB,Dry,10
01110D,BLACK SESAME SEEDS (24 OZ),검정깨 (24 OZ),CS,0,500,90,ASSI,30X24 OZ,Dry,30
01111K,ROASTED WHOLE SESAME SEEDS (1#),볶음 통깨 (1#),CS,0,500,90,ASSI,30X1 LB,Dry,30
01112K,ROASTED WHOLE SESAME SEEDS (2#),볶음 통깨 (2#),CS,0,500,90,ASSI,20X2 LB,Dry,20
01113K,ROASTED SESAME SEEDS (4#),볶음 통깨 (4#),CS,165,460,90,ASSI,10X4 LB,Dry,10
01114K,ROASTED BLACK SESAME SEED (2#),볶음 검정깨 (2#),CS,0,500,90,ASSI,20X2 LB,Dry,20
01117D,BLACK SESAME SEEDS (4#),검정깨 (4#),CS,172,460,90,ASSI,10X4 LB,Dry,10
01118D,BLACK SESAME SEEDS (14 OZ),검정깨 (14 OZ),CS,146,460,90,ASSI,30X14OZ,Dry,30
01119D,ROASTED BLACK SESAME SEEDS (30OZ),볶음 검정깨 (30OZ),CS,290,460,90,ASSI,24X30 OZ,Dry,24
01122J,ROASTED SESAME SEEDS (40#),볶음 통깨 벌크 (40#),CS,152,460,90,UNBRANDED,40 LB,Dry,1
01124D,PERILLA SEEDS (14 OZ),들깨 (14 OZ),CS,189,640,90,ASSI,30X14 OZ,Dry,30
01126K,MILLET (1#),메조 (1#),CS,84,640,90,ASSI,30X1 LB,Dry,30
01127K,RED SORGHUM (1#),차수수 (1#),CS,69,280,90,ASSI,30X1 LB,Dry,30
01128K,JOBS TEARS (1#),율무 (1#),CS,69,640,90,ASSI,30X1 LB,Dry,30
01135D,PERILLA SEEDS (CHINA_ 40#),들깨 (40#),CS,205,460,90,ASSI,40 LB,Ref,1
01136D,ROASTED SESAME SEEDS (14 OZ),볶음 통깨 (14 OZ),CS,139,460,90,ASSI,30X14 OZ,Dry,30
01139D,ROASTED SESAME SEEDS (30 OZ),볶음 통깨 (30 OZ),CS,185,460,90,ASSI,24X30 OZ,Dry,24
01142K,GLUTINOUS MILLET (1#),차조 (1#),CS,93,640,90,ASSI,30X1 LB,Dry,30
01147D,YELLOW SESAME SEEDS (30 OZ),참깨 (30 OZ),CS,156,460,90,ASSI,24X30 OZ,Dry,24
01154D,WHITE SESAME SEEDS (14 OZ),흰참깨 (14 OZ),CS,117,460,90,ASSI,30X14 OZ,Dry,30
01158K,BAKED RICE CRISP,쌀 누룽지,CS,45,280,90,OSUNG,20X5.3 OZ,Dry,20
01159K,BAKED BROWN RICE CRISP,현미 누룽지,CS,48,280,90,OSUNG,20X5.3 OZ,Dry,20
01177K,COOKED RICE,즉석밥,CS,15,280,90,RHEECHUN,12X7.4 OZ,Dry,12
01192K,COOKED BLACK RICE,쎈쿡 건강한 흑미밥,CS,35,280,90,DONGWON,6X3X7.4 OZ,Dry,6
01193K,COOKED MIXED RICE,쎈쿡 건강한 혼합곡밥,CS,35,280,90,DONGWON,6X3X7.4 OZ,Dry,6
01194K,COOKED BROWN RICE,쎈쿡 현미밥,CS,35,280,90,DONGWON,6X3X6.87 OZ,Dry,6
01195K,COOKED WHOLE GRAIN RICE,쎈쿡 통곡물밥,CS,35,280,90,DONGWON,6X3X6.87 OZ,Dry,6
01196K,COOKED SWEETENED GLUTINOUS RICE,쎈쿡 찰진약밥,CS,43,280,90,DONGWON,12X2X6.7 OZ,Dry,12
01199K,COOKED SPROUTED BROWN RICE,쎈쿡 100PER 발아 현미밥,CS,27,280,90,DONGWON,12X7.4 OZ,Dry,12
01201D,WHITE PEARLED BARLEY (5#),하얀 쌀보리 (5#),CS,72,690,90,ASSI,10X5 LB,Dry,10
01202D,WHOLE BARLEY (30 OZ),통보리 (30 OZ),CS,100,690,90,ASSI,25X30 OZ,Dry,25
01203D,WHOLE BARLEY (5#),통보리 (5#),CS,84,690,90,ASSI,10X5 LB,Dry,10
01206D,JOB'S TEARS (14 OZ),율무 (14 OZ),CS,85,640,90,ASSI,30X14 OZ,Dry,30
01208D,HALF SPLIT MUNG BEAN (30 OZ),타갠 녹두 (30 OZ),CS,136,650,90,ASSI,24X30 OZ,Dry,24
01209D,WHOLE MUNG BEAN (30 OZ),통녹두 (30 OZ),CS,78,640,90,ASSI,24X30 OZ,Dry,24
01211D,BLACK BEAN (30 OZ),검정콩 (30 OZ),CS,118,280,90,ASSI,24X30 OZ,Dry,24
01212D,BLACK BEAN W/GREEN KERNEL (SEORITA_30 OZ),서리태 (속푸른 콩_ 30 OZ),CS,140,280,90,ASSI,24X30 OZ,Dry,24
01213D,SOYBEAN (30 OZ),메주콩 (30 OZ),CS,111,640,90,ASSI,24X30 OZ,Dry,24
01214D,SOYBEAN,메주콩,CS,115,640,90,ASSI,10X5LB,Dry,10
01216D,RED BEAN (30 OZ),팥 (30 OZ),CS,141,280,90,ASSI,24X30 OZ,Dry,24
01219D,PEELED MUNG BEAN (30 OZ),깐녹두 (30 OZ),CS,77,640,90,ASSI,24X30 OZ,Dry,24
01220D,ORGANIC SOYBEAN,유기농 메주콩,CS,92,640,90,ASSI,24X30 OZ,Dry,24
01221D,ORGANIC BLACK BEANS,유기농 검정콩,CS,93,640,90,ASSI,24X30 OZ,Dry,24
01222D,ORGANIC BLACK BEAN(W/GREEN KERNEL),유기농 서리태,CS,114,640,90,ASSI,24X30 OZ,Dry,24
01223D,ORGANIC RED BEANS,유기농 팥,CS,129,640,90,ASSI,24X30 OZ,Dry,24
02002D,RICE FLOUR (30 OZ),쌀가루 (30 OZ),CS,144,460,90,ASSI,25X30 OZ,Dry,25
02008D,SWEET RICE FLOUR (30 OZ),찹쌀가루 (30 OZ),CS,92,460,90,ASSI,25X30 OZ,Dry,25
02010D,SWEET RICE FLOUR (MOCHIKO_1#),모찌꼬 (찹쌀가루_1#),CS,64,330,90,KODA,36X1 LB,Dry,36
02011D,SWEET RICE FLOUR (USA_MOCHIKO_50#),모찌꼬 (찹쌀가루_50#),BG,58,690,90,KODA,50 LB,Dry,1
02019T,MIXED FLOUR FOR CAKE,케익가루,CS,31,640,90,VINHTHUAN,20X14.1 OZ,Dry,20
02020T,GLUTINOUS RICE FLOUR,찹쌀가루,CS,28,640,90,VINHTHUAN,20X14.1 OZ,Dry,20
02022T,FLOUR FOR WET RICE PAPER,라이스 페이퍼가루,CS,33,640,90,VINHTHUAN,20X14.1 OZ,Dry,20
02023T,PREPARED MIX FLOUR,부침가루,CS,42,640,90,VINHTHUAN,30X14.1 OZ,Dry,30
02024T,CRISP FRIED POWDER MIX,튀김가루,CS,46,640,90,VINHTHUAN,60X5.3 OZ,Dry,60
02026T,RICE STARCH,쌀가루,CS,34,640,90,VINHTHUAN,20X14.1 OZ,Dry,20
02027D,POTATO STARCH (HOLLAND_55.115#),감자가루 벌크 (55.115#),CS,72,1720,90,AVEBE,55.115 LB,Dry,1
02029D,CORN STARCH (USA_50#),옥수수 전분 벌크 (50#),BG,57,690,90,CARGILL,50 LB,Dry,1
02030D,CORN STARCH (30 OZ),옥수수 전분 (30 OZ),CS,101,640,90,ASSI,25X30 OZ,Dry,25
02032D,POTATO STARCH (30 OZ),감자가루 (30 OZ),CS,129,640,90,ASSI,25X30 OZ,Dry,25
02035K,ROASTED GRAINS POWDER,20곡 미숫가루,CS,0,500,90,NEULPUREUN,12X2.2 LB,Dry,12
02041D,MUNG BEAN STARCH (55#),청포묵가루 벌크 (55#),BG,177,640,90,UNBRANDED,55 LB,Dry,1
02042K,MUNG BEAN STARCH (8 OZ),청포묵가루 (8 OZ),BX,56,640,90,ASSI,2X30X8 OZ,Dry,30
02045K,MUNG BEAN STARCH (5#),청포묵가루 (5#),CS,155,640,90,ASSI,8X5 LB,Dry,8
02048C,ACORN STARCH (CHINA_20#),도토리묵가루 벌크 (20#),CS,139,460,90,ASSI,20 LB,Dry,1
02051K,MUNG BEAN STARCH (1#),청포묵가루 (1#),BX,88,640,90,ASSI,2X25X1 LB,Dry,25
02054K,STRONG WHEAT FLOUR (5.5#),강력 밀가루 (5.5#),CS,33,280,90,GOMPYO,6X5.5 LB,Dry,6
02055K,GLUTINOUS WHEAT FLOUR (5.5#),찰진 햇 밀가루 (5.5#),CS,34,280,90,GOMPYO,6X5.5 LB,Dry,6
02056D,MALT POWDER (14 OZ),엿기름 가루 (14 OZ),CS,54,280,90,ASSI,24X14 OZ,Dry,24
02057K,ALL PURPOSE WHEAT FLOUR (5.5#),중력 밀가루 (5.5#),CS,25,280,90,GOMPYO,6X5.5 LB,Dry,6
02058K,ALL PURPOSE WHEAT FLOUR (2.2#),중력 밀가루 (2.2#),CS,19,280,90,GOMPYO,10X2.2 LB,Dry,10
02059K,ALL PURPOSE WHEAT FLOUR (KOREA_22#),중력 밀가루 벌크 (22#),BG,16,280,90,GOMPYO,22 LB,Dry,1
02060K,ALL PURPOSE WHEAT FLOUR (5.5#),다목적용 밀가루 (5.5#),CS,20,280,90,ASSI,6X5.5 LB,Dry,6
02064K,ENZYME (16OZ),누룩 (16OZ),CS,0,325,90,ASSI,30X16 OZ,Dry,30
02065K,ROASTED SOY POWDER (1#),볶은 콩가루 (1#),CS,95,330,90,ASSI,25X1 LB,Dry,25
02066K,SOY BEAN POWDER (1#),생콩가루 (1#),CS,76,280,90,ASSI,30X1 LB,Dry,30
02067D,CORN STARCH,옥수수 전분,CS,53,1050,90,ARGO,24X1 LB,Dry,24
02068K,PERILLA POWDER,들깨가루,CS,54,280,90,CHEONGEUN,20X7 OZ,Dry,20
02069K,FERMENTED SOY BEAN POWDER (MEJU GARU),메주가루,CS,71,460,90,ASSI,30X1 LB,Dry,30
02071D,MALT POWDER (4 LB),엿기름 가루 (4 LB),CS,74,280,90,ASSI,10X4 LB,Dry,10
02075K,PERILLA POWDER,들깨가루,BX,112,460,90,BAEDAEGAM,2X20X7.05 OZ,Dry,20
02081K,KOREAN STUFFED PANCAKE MIX,찰 호떡 믹스,CS,44,280,90,QONE,10X1.2 LB,Dry,10
02083K,KOREAN PUMPKIN STUFFED PANCAKE MIX,단호박 호떡 믹스,CS,36,280,90,QONE,10X1.2 LB,Dry,10
02084K,KOREAN STUFFED BREAD MIX,깨찰빵 믹스,CS,46,280,90,QONE,10X1.1 LB,Dry,10
02087K,KOREAN PANCAKE MIX,참 부침가루,CS,0,325,90,QONE,10X2.2 LB,Dry,10
02088K,TEMPURA BATTER MIX,참 튀김가루,CS,22,280,90,QONE,10X2.2 LB,Dry,10
02089K,KOREAN BLACK RICE & HONEY STUFFED PANCAKE MX,흑미 꿀호떡믹스,CS,0,325,90,QONE,10X14.1 OZ,Dry,10
02096D,POTATO STARCH (4#),감자가루 (4#),CS,95,640,90,ASSI,10X4 LB,Dry,10
02123K,BREAD CRUMBS (S),빵가루 (S),CS,24,280,90,ASSI,24X7 OZ,Dry,24
02124K,BREAD CRUMBS (L),빵가루 (L),CS,39,280,90,ASSI,10X2.2 LB,Dry,10
02125K,BREAD CRUMBS (KOREA_22#),빵가루 벌크 (22#),CS,30,280,90,ASSI,22 LB,Dry,1
02126K,BREAD CRUMBS (RED PANKO_L),레드 판꼬 (빵가루_L),CS,22,280,90,HANA,12X1.1 LB,Dry,12
02148K,PREMIUM TEMPURA BATTER MIX,프리미엄 튀김가루,CS,26,460,90,ASSI,10X2 LB,Dry,10
02149K,PREMIUM VEGETABLE PANCAKE MIX,프리미엄 부침가루,CS,24,460,90,ASSI,10X2 LB,Dry,10
02150K,PREMIUM TEMPURA BATTER MIX,프리미엄 바삭바삭 튀김가루,CS,32,460,90,YISSINE,10X2.2 LB,Dry,10
02151K,PREMIUM VEGETABLE PANCAKE MIX,프리미엄 바삭바삭 부침가루,CS,29,460,90,YISSINE,10X2.2 LB,Dry,10
02153K,TEMPURA BATTER MIX (S),튀김가루 (S),CS,25,280,90,GOMPYO,20X1.1 LB,Dry,20
02155K,TEMPURA BATTER MIX (L),튀김가루 (L),CS,22,280,90,GOMPYO,10X2.2 LB,Dry,10
02156D,COARSE MALT POWDER (14 OZ),거친 엿기름 가루 (14 OZ),CS,47,280,90,ASSI,24X14 OZ,Dry,24
02161K,MUGWORT POWDER,쑥가루,BX,62,460,90,ASSI,2X25X3 OZ,Dry,25
02163D,ACORN STARCH (14 OZ),도토리묵 가루 (14 OZ),CS,156,280,90,ASSI,24X14 OZ,Dry,24
02164D,ACORN STARCH (8 OZ),도토리묵 가루 (8 OZ),CS,102,280,90,ASSI,24X8 OZ,Dry,24
02168D,RICE FLOUR (4#),쌀가루 (4 LB),CS,66,650,90,ASSI,10X4 LB,Dry,10
02170D,SWEET RICE FLOUR,찹쌀가루,CS,71,640,90,ASSI,10X4 LB,Dry,10
02174D,MUNG BEAN STARCH (14 OZ),청포묵가루 (14 OZ),CS,61,640,90,ASSI,20X14 OZ,Dry,20
02179D,RICE FLOUR,쌀가루 (4.4 LB),CS,65,460,90,ASSI,10X4.4 LB,Dry,10
02192K,BROWN SUGAR,흑설탕,CS,44,640,90,QONE,16X2.2 LB,Dry,16
02196K,BROWN SUGAR (ZIPPER),갈색 설탕 (지퍼),CS,65,640,90,QONE,20X2.2 LB,Dry,20
02197K,BROWN SUGAR,흑설탕,CS,53,640,90,QONE,20X2.2 LB,Dry,20
02198K,SUGAR,하얀 설탕,CS,64,640,90,QONE,20X2.2 LB,Dry,20
02200T,PALM SUGAR,팜슈가,CS,43,640,90,COCK,24X16 OZ,Dry,24
02204K,CONCENTRATED SWEETENER,뉴슈가,BX,20,640,90,POONGJEON,10X40X2.11 OZ,Dry,40
02207K,BLACK BEAN SAUCE MIX (JJAJANG_S),짜장분말 (S),BX,43,640,90,OTOKI,4X10X3.52 OZ,Dry,10
02208K,BLACK BEAN SAUCE MIX (JJAJANG_L),짜장분말 (L),CS,143,640,90,OTOKI,10X2.2 LB,Dry,10
02210P,ORGANIC COCO SUGAR,유기농 코코넛 설탕,CS,77,640,90,COCONATURA,24X8.81 OZ,Dry,24
02211T,DUMPLING FLOUR,덤플링가루,CS,29,640,90,VINHTHUAN,20X14.1 OZ,Dry,20
02214T,RICE FLOUR FOR CAKE,라이스 케익가루,CS,32,640,90,VINHTHUAN,20X14.1 OZ,Dry,20
02222T,FRIED BANANA FLOUR,후라이드 바나나가루,CS,41,640,90,VINHTHUAN,30X12 OZ,Dry,30
02223D,MAGIC CHICKEN POWDER(MILD),매직 치킨 파우더 (순한맛),CS,0,460,90,HIMALL,20X4.23 OZ,Dry,20
