Item No.,Variant Code,Unit of Measure,Reference Type,Reference Type No.,Reference No.,Description,Description 2,Starting Date,Ending Date,Usage Data Supplier Ref. Entry No.
00057D,,BG,Bar Code,,081652000570,EACH,,2024-07-29,2024-07-30,
00057D,,BG,Bar Code,,10081652000577,CASE,,2024-07-29,2024-07-30,
00060D,,BG,Bar Code,,081652000600,EACH,,2024-07-29,2024-07-30,
00061D,,CS,Bar Code,,081652000617,RETAIL 2023_04_04,,2024-07-29,2024-07-30,
00061D,,CS,Bar Code,,10081652000614,WH 2023_04_04,,2024-07-29,2024-07-30,
00066D,,BG,Bar Code,,081652000662,EACH,,2024-07-29,,
00066D,,BG,Bar Code,,100816520006669,CASE,,2024-07-29,,
00072D,,BG,Bar Code,,50758108728900,EACH,,2024-07-29,,
00073D,,BG,Bar Code,,8809183621147,EACH,,2024-07-29,2024-07-30,
00074D,,BG,Bar Code,,8809071504255,EACH,,2024-07-29,2024-07-30,
00075D,,BG,Bar Code,,8809071500424,EACH,,2024-07-29,2024-07-30,
00080D,,CS,Bar Code,,081652000808,RETAIL 2023_04_04,,2024-07-29,,
00080D,,CS,Bar Code,,10081652000805,WH 2023_04_04,,2024-07-29,,
00081D,,CS,Bar Code,,081652000815,EACH,,2024-07-29,,
00081D,,CS,Bar Code,,10081652000812,CASE,,2024-07-29,,
00087D,,CS,Bar Code,,081652000877,RETAIL 2023_03_17,,2024-07-29,,
00087D,,CS,Bar Code,,10081652000874,WH 2023_03_17,,2024-07-29,,
00091D,,BG,Bar Code,,081652000914,EACH,,2024-07-29,2025-08-01,
00092D,,CS,Bar Code,,081652000921,RETAIL 2023_03_17,,2024-07-29,,
00092D,,CS,Bar Code,,10081652000928,WH 2023_03_17,,2024-07-29,,
00093D,,CS,Bar Code,,081652000938,RETAIL 2023_04_04,,2024-07-29,,
00093D,,CS,Bar Code,,10081652000935,WH 2023_04_04,,2024-07-29,,
00094D,,CS,Bar Code,,081652000945,EACH,,2024-07-29,,
00094D,,CS,Bar Code,,10081652000942,CASE,,2024-07-29,,
00097D,,CS,Bar Code,,081652000976,RETAIL 2023_04_04,,2024-07-29,,
00097D,,CS,Bar Code,,10081652000973,WH 2023_04_04,,2024-07-29,,
00098D,,CS,Bar Code,,081652000983,EACH,,2024-07-29,2024-07-30,
00098D,,CS,Bar Code,,10081652000980,CASE,,2024-07-29,2024-07-30,
00099D,,CS,Bar Code,,081652000990,RETAIL 2023_03_17,,2024-07-29,,
00099D,,CS,Bar Code,,10081652000997,WH 2023_03_17,,2024-07-29,,
01009D,,BG,Bar Code,,081652010098,RETAIL,,2024-07-01,2024-10-07,
01009D,,BG,Bar Code,,100816520110095,CASE,,2024-07-01,2024-10-07,
01012D,,CS,Bar Code,,074823001131,EACH,,2024-07-29,2024-07-30,
01015D,,CS,Bar Code,,081652010159,EACH,,2024-07-29,2025-06-20,
01015D,,CS,Bar Code,,10081652010156,CASE,,2024-07-29,2025-06-20,
01020D,,CS,Bar Code,,081652010203,EACH,,2024-07-29,,
01020D,,CS,Bar Code,,10081652010200,,,2024-11-01,,
01021D,,BG,Bar Code,,081652010210,EACH,,2024-07-29,,
01023D,,CS,Bar Code,,081652010234,EACH,,2024-07-29,2024-07-30,
01024D,,CS,Bar Code,,081652010241,EACH,,2024-07-29,2024-07-30,
01025D,,BG,Bar Code,,081652010258,EACH,,2024-07-29,2024-07-30,
01027D,,CS,Bar Code,,081652010272,EACH,,2024-07-29,,
01027D,,CS,Bar Code,,10081652010279,CASE,,2024-07-29,,
01029D,,BG,Customer,VA372,6368609,THAI JASMINE RICE  (20#),,,,
01029D,,BG,Bar Code,,081652010296,EACH,,2024-07-29,,
01030D,,BG,Bar Code,,081652010302,EACH,,2024-07-29,,
01031D,,CS,Bar Code,,081652010319,RETAIL 2023_03_17,,2024-07-29,,
01031D,,CS,Bar Code,,10081652010316,WH 2023_03_17,,2024-07-29,,
01032D,,CS,Bar Code,,081652010326,EACH,,2024-07-29,2024-11-27,
01032D,,CS,Bar Code,,10081652010323,,,2024-11-01,2024-11-27,
01033D,,CS,Bar Code,,081652010333,RETAIL 2023_03_17,,2024-07-29,,
01033D,,CS,Bar Code,,10081652010330,WH 2023_03_17,,2024-07-29,,
01034D,,CS,Bar Code,,081652010340,EACH,,2024-07-29,,
01034D,,CS,Bar Code,,10081652010347,,,2024-11-01,,
01038D,,BG,Bar Code,,10081652010385,EACH,,2024-07-29,,
01039D,,BG,Bar Code,,081652010395,WH 2023_04_04,,2024-07-29,,
01039D,,BG,Bar Code,,10081652010392,CASE,,2024-07-29,,
01041D,,CS,Bar Code,,081652010418,RETAIL 2023_03_17,,2024-07-29,,
01041D,,CS,Bar Code,,10081652010415,WH 2023_03_17,,2024-07-29,,
01043D,,CS,Bar Code,,081652010432,EACH,,2024-07-01,2024-11-27,
01043D,,CS,Bar Code,,10081652010439,CASE,,2024-07-01,2024-11-27,
01044D,,CS,Bar Code,,081652010449,EACH,,2024-07-29,2024-11-27,
01044D,,CS,Bar Code,,10081652010446,,,2024-07-29,2024-11-27,
01045D,,CS,Bar Code,,081652010456,RETAIL 2023_04_10,,2024-07-29,,
01045D,,CS,Bar Code,,10081652010453,WH 2023_04_10,,2024-07-29,,
01047D,,BG,Bar Code,,081652010470,EACH,,2024-07-29,,
01048D,,CS,Bar Code,,081652010487,RETAIL 2023_04_04,,2024-07-29,,
01048D,,CS,Bar Code,,10081652010484,WH 2023_04_04,,2024-07-29,,
01049D,,BG,Bar Code,,BULK,,,2024-07-29,,
01054D,,CS,Bar Code,,081652010548,RETAIL 2023_04_14,,2024-07-29,,
01054D,,CS,Bar Code,,10081652010545,WH 2023_04_14,,2024-07-29,,
01060K,,CS,Bar Code,,081652010609,WH 2023_04_04,,2024-07-29,,
01060K,,CS,Bar Code,,10081652010606,WH 2023_04_04,,2024-07-29,,
01061D,,CS,Bar Code,,081652010616,WH 2023_04_04,,2024-07-29,,
01061D,,CS,Bar Code,,10081652010613,WH 2023_04_04,,2024-07-29,,
01063D,,CS,Bar Code,,081652010630,RETAIL 2023_04_04,,2024-07-29,2025-02-07,
01063D,,CS,Bar Code,,10081652010637,WH 2023_04_04,,2024-07-29,2025-02-07,
01064D,,BG,Bar Code,,BULK,,,2024-07-29,,
01066D,,CS,Bar Code,,081652010661,RETAIL 2023_04_04,,2024-07-29,2025-02-28,
01066D,,CS,Bar Code,,10081652010668,WH 2023_04_04,,2024-07-29,2025-02-28,
01067D,,CS,Bar Code,,081652010678,RETAIL 2023_03_17,,2024-07-29,,
01067D,,CS,Bar Code,,10081652010675,WH 2023_03_17,,2024-07-29,,
01070D,,BG,Bar Code,,081652010708,Retail,,2024-07-29,,
01070D,,BG,Bar Code,,10081652010705,,,2024-07-29,,
01073D,,CS,Bar Code,,081652010739,EACH,,2024-07-29,2024-07-30,
01076D,,BG,Bar Code,,10081652010767,EACH,,2024-07-29,,
01077D,,BG,Bar Code,,10081652010774,EACH,,2024-07-29,,
01078D,,BG,Bar Code,,081652010784,EACH,,2024-07-29,,
01079V,,BG,Bar Code,,081652010791,EACH,,2024-07-29,,
01081D,,BG,Bar Code,,BULK,,,2024-07-29,,
01082D,,CS,Bar Code,,081652010821,EACH,,2024-07-29,,
01082D,,CS,Bar Code,,10081652010828,CASE,,2024-07-29,,
01083D,,CS,Bar Code,,081652010838,RETAIL 2023_04_04,,2024-07-29,2025-03-14,
01083D,,CS,Bar Code,,10081652010835,WH 2023_04_04,,2024-07-29,2025-03-14,
01088V,,CS,Bar Code,,081652010883,EACH,,2024-07-29,2024-09-27,
01088V,,CS,Bar Code,,10081652010880,CASE,,2024-07-29,2024-09-27,
01090D,,BG,Bar Code,,BULK,,,2024-07-29,2024-10-08,
01094K,,CS,Bar Code,,081652010944,RETAIL 2023_04_04,,2024-07-29,2025-02-07,
01094K,,CS,Bar Code,,10081652010941,WH 2023_04_04,,2024-07-29,2025-02-07,
01095D,,BG,Bar Code,,BULK,,,2024-07-29,2025-05-23,
01096D,,CS,Bar Code,,081652010968,RETAIL 2023_04_04,,2024-07-29,2024-11-27,
01096D,,CS,Bar Code,,10081652010965,WH 2023_04_04,,2024-07-29,2024-11-27,
01100V,,BG,Bar Code,,081652011002,EACH,,2024-07-29,,
01103D,,CS,Bar Code,,081652011033,EACH,,2024-07-29,2024-11-27,
01103D,,CS,Bar Code,,10081652011030,,,2024-11-01,2024-11-27,
01106D,,BG,Bar Code,,081652011064,EACH,,2024-07-29,,
01106D,,BG,Bar Code,,10081652011061,BG,,2024-07-29,,
01107D,,CS,Bar Code,,081652011071,EACH,,2025-04-15,,
01107D,,CS,Bar Code,,10081652011078,CASE,,2025-04-15,,
01108D,,CS,Bar Code,,081652011088,RETAIL 2023_04_04,,2024-07-29,,
01108D,,CS,Bar Code,,10081652011085,WH 2023_04_04,,2024-07-29,,
01110D,,CS,Bar Code,,081652011101,EACH,,2025-04-15,,
01110D,,CS,Bar Code,,10081652011108,CASE,,2025-04-15,,
01111K,,CS,Bar Code,,081652011118,EACH,,2025-04-15,,
01111K,,CS,Bar Code,,10081652011115,CASE,,2025-04-15,,
01112K,,CS,Bar Code,,081652011125,EACH,,2025-04-15,,
01112K,,CS,Bar Code,,10081652011122,CASE,,2025-04-15,,
01113K,,CS,Bar Code,,081652011132,RETAIL 2023_04_04,,2024-07-29,,
01113K,,CS,Bar Code,,10081652011139,WH 2023_04_04,,2024-07-29,,
01114K,,CS,Bar Code,,081652011149,EACH,,2025-04-15,,
01114K,,CS,Bar Code,,10081652011146,CASE,,2025-04-15,,
01117D,,CS,Bar Code,,081652011170,RETAIL 2023_03_17,,2024-07-29,,
01117D,,CS,Bar Code,,10081652011177,WH 2023_03_17,,2024-07-29,,
01118D,,CS,Bar Code,,081652011187,RETAIL 2023_04_14,,2024-07-29,,
01118D,,CS,Bar Code,,10081652011184,WH 2023_04_14,,2024-07-29,,
01119D,,CS,Bar Code,,081652011194,RETAIL 2023_04_04,,2024-07-29,,
01119D,,CS,Bar Code,,10081652011191,WH 2023_04_04,,2024-07-29,,
01122J,,CS,Bar Code,,081652011224,WH 2023_04_04,,2024-07-29,,
01122J,,CS,Bar Code,,10081652011221,WH 2023_04_04,,2024-07-29,,
01124D,,CS,Bar Code,,081652011248,EA,,2024-07-29,,
01124D,,CS,Bar Code,,10081652011245,CS,,2024-07-29,,
01126K,,CS,Bar Code,,081652011262,RETAIL 2023_05_22,,2024-07-29,2024-07-30,
01126K,,CS,Bar Code,,10081652011269,WH 2023_05_22,,2024-07-29,2024-07-30,
01127K,,CS,Bar Code,,081652011279,RETAIL 2023_04_10,,2024-07-29,2024-07-30,
01127K,,CS,Bar Code,,10081652011276,WH 2023_04_10,,2024-07-29,2024-07-30,
01128K,,CS,Bar Code,,081652011286,RETAIL 2023_04_24,,2024-07-29,2024-12-10,
01128K,,CS,Bar Code,,10081652011283,WH 2023_04_24,,2024-07-29,2024-12-10,
01135D,,CS,Bar Code,,081652011354,EACH,,2024-07-29,,
01135D,,CS,Bar Code,,10081652011351,CASE,,2024-07-29,,
01136D,,CS,Bar Code,,081652011361,RETAIL,,2024-07-29,,
01136D,,CS,Bar Code,,10081652011368,WH,,2024-07-29,,
01139D,,CS,Bar Code,,081652011392,RETAIL 2023_03_17,,2024-07-29,,
01139D,,CS,Bar Code,,10081652011399,WH 2023_03_17,,2024-07-29,,
01142K,,CS,Bar Code,,081652011422,EACH,,2024-07-29,2024-07-30,
01142K,,CS,Bar Code,,10081652011429,CASE,,2024-07-29,2024-07-30,
01147D,,CS,Bar Code,,081652011477,RETAIL 2023_04_04,,2024-07-29,,
01147D,,CS,Bar Code,,10081652011474,WH 2023_04_04,,2024-07-29,,
01154D,,CS,Bar Code,,081652011545,RETAIL 2023_04_04,,2024-07-29,,
01154D,,CS,Bar Code,,10081652011542,WH 2023_04_04,,2024-07-29,,
01158K,,CS,Bar Code,,18804845202761,WH 2023_04_24,,2024-07-29,2024-07-30,
01158K,,CS,Bar Code,,8804845205000,RETAIL 2023_04_24,,2024-07-29,2024-07-30,
01159K,,CS,Bar Code,,18804845202778,WH 2023_05_09,,2024-07-29,2024-07-30,
01159K,,CS,Bar Code,,8804845202252,EACH,,2024-07-29,2024-07-30,
01159K,,CS,Bar Code,,8804845205017,RETAIL 2023_05_09,,2024-07-29,2024-07-30,
01159K,,CS,Bar Code,,88804845202258,CASE,,2024-07-29,2024-07-30,
01177K,,CS,Bar Code,,081652011774,RETAIL 2023_04_14,,2024-07-29,,
01177K,,CS,Bar Code,,10081652011771,WH 2023_04_14,,2024-07-29,,
01177K,,CS,Bar Code,,4545732011772,BOX,,2024-07-29,,
01192K,,CS,Vendor,10153,85797,,,,,
01192K,,CS,Bar Code,,18801047857843,WH 2023_05_09,,2024-07-29,,
