Item No.,Variant Code,Unit of Measure,Reference Type,Reference Type No.,Reference No.,Description,Description 2,Starting Date,Ending Date,Usage Data Supplier Ref. Entry No.
01041D,,CS,Bar Code,,10081652010415,WH 2023_03_17,,2024-07-29,,
01045D,,CS,Bar Code,,081652010456,RETAIL 2023_04_10,,2024-07-29,,
01045D,,CS,Bar Code,,10081652010453,WH 2023_04_10,,2024-07-29,,
01047D,,BG,Bar Code,,081652010470,EACH,,2024-07-29,,
01048D,,CS,Bar Code,,081652010487,RETAIL 2023_04_04,,2024-07-29,,
01048D,,CS,Bar Code,,10081652010484,WH 2023_04_04,,2024-07-29,,
01049D,,BG,Bar Code,,BULK,,,2024-07-29,,
01054D,,CS,Bar Code,,081652010548,RETAIL 2023_04_14,,2024-07-29,,
01054D,,CS,Bar Code,,10081652010545,WH 2023_04_14,,2024-07-29,,
01060K,,CS,Bar Code,,081652010609,WH 2023_04_04,,2024-07-29,,
01060K,,CS,Bar Code,,10081652010606,WH 2023_04_04,,2024-07-29,,
01061D,,CS,Bar Code,,081652010616,WH 2023_04_04,,2024-07-29,,
01061D,,CS,Bar Code,,10081652010613,WH 2023_04_04,,2024-07-29,,
01064D,,BG,Bar Code,,BULK,,,2024-07-29,,
01067D,,CS,Bar Code,,081652010678,RETAIL 2023_03_17,,2024-07-29,,
01067D,,CS,Bar Code,,10081652010675,WH 2023_03_17,,2024-07-29,,
01070D,,BG,Bar Code,,081652010708,Retail,,2024-07-29,,
01070D,,BG,Bar Code,,10081652010705,,,2024-07-29,,
01076D,,BG,Bar Code,,10081652010767,EACH,,2024-07-29,,
01077D,,BG,Bar Code,,10081652010774,EACH,,2024-07-29,,
01078D,,BG,Bar Code,,081652010784,EACH,,2024-07-29,,
01079V,,BG,Bar Code,,081652010791,EACH,,2024-07-29,,
01081D,,BG,Bar Code,,BULK,,,2024-07-29,,
01082D,,CS,Bar Code,,081652010821,EACH,,2024-07-29,,
01082D,,CS,Bar Code,,10081652010828,CASE,,2024-07-29,,
01100V,,BG,Bar Code,,081652011002,EACH,,2024-07-29,,
01106D,,BG,Bar Code,,081652011064,EACH,,2024-07-29,,
01106D,,BG,Bar Code,,10081652011061,BG,,2024-07-29,,
01107D,,CS,Bar Code,,081652011071,EACH,,2025-04-15,,
01107D,,CS,Bar Code,,10081652011078,CASE,,2025-04-15,,
01108D,,CS,Bar Code,,081652011088,RETAIL 2023_04_04,,2024-07-29,,
01108D,,CS,Bar Code,,10081652011085,WH 2023_04_04,,2024-07-29,,
01110D,,CS,Bar Code,,081652011101,EACH,,2025-04-15,,
01110D,,CS,Bar Code,,10081652011108,CASE,,2025-04-15,,
01111K,,CS,Bar Code,,081652011118,EACH,,2025-04-15,,
01111K,,CS,Bar Code,,10081652011115,CASE,,2025-04-15,,
01112K,,CS,Bar Code,,081652011125,EACH,,2025-04-15,,
01112K,,CS,Bar Code,,10081652011122,CASE,,2025-04-15,,
01113K,,CS,Bar Code,,081652011132,RETAIL 2023_04_04,,2024-07-29,,
01113K,,CS,Bar Code,,10081652011139,WH 2023_04_04,,2024-07-29,,
01114K,,CS,Bar Code,,081652011149,EACH,,2025-04-15,,
01114K,,CS,Bar Code,,10081652011146,CASE,,2025-04-15,,
01117D,,CS,Bar Code,,081652011170,RETAIL 2023_03_17,,2024-07-29,,
01117D,,CS,Bar Code,,10081652011177,WH 2023_03_17,,2024-07-29,,
01118D,,CS,Bar Code,,081652011187,RETAIL 2023_04_14,,2024-07-29,,
01118D,,CS,Bar Code,,10081652011184,WH 2023_04_14,,2024-07-29,,
01119D,,CS,Bar Code,,081652011194,RETAIL 2023_04_04,,2024-07-29,,
01119D,,CS,Bar Code,,10081652011191,WH 2023_04_04,,2024-07-29,,
01122J,,CS,Bar Code,,081652011224,WH 2023_04_04,,2024-07-29,,
01122J,,CS,Bar Code,,10081652011221,WH 2023_04_04,,2024-07-29,,
01124D,,CS,Bar Code,,081652011248,EA,,2024-07-29,,
01124D,,CS,Bar Code,,10081652011245,CS,,2024-07-29,,
01135D,,CS,Bar Code,,081652011354,EACH,,2024-07-29,,
01135D,,CS,Bar Code,,10081652011351,CASE,,2024-07-29,,
01136D,,CS,Bar Code,,081652011361,RETAIL,,2024-07-29,,
01136D,,CS,Bar Code,,10081652011368,WH,,2024-07-29,,
01139D,,CS,Bar Code,,081652011392,RETAIL 2023_03_17,,2024-07-29,,
01139D,,CS,Bar Code,,10081652011399,WH 2023_03_17,,2024-07-29,,
01147D,,CS,Bar Code,,081652011477,RETAIL 2023_04_04,,2024-07-29,,
01147D,,CS,Bar Code,,10081652011474,WH 2023_04_04,,2024-07-29,,
01154D,,CS,Bar Code,,081652011545,RETAIL 2023_04_04,,2024-07-29,,
01154D,,CS,Bar Code,,10081652011542,WH 2023_04_04,,2024-07-29,,
01177K,,CS,Bar Code,,081652011774,RETAIL 2023_04_14,,2024-07-29,,
01177K,,CS,Bar Code,,10081652011771,WH 2023_04_14,,2024-07-29,,
01177K,,CS,Bar Code,,4545732011772,BOX,,2024-07-29,,
01192K,,CS,Bar Code,,18801047857843,WH 2023_05_09,,2024-07-29,,
01192K,,CS,Bar Code,,8801047857846,RETAIL 2023_05_09,,2024-07-29,,
01193K,,CS,Bar Code,,18801047857829,CASE,,2024-07-29,,
01193K,,CS,Bar Code,,8801047857822,EACH,,2024-07-29,,
01194K,,CS,Bar Code,,18801047859274,WH 2023_05_09,,2024-07-29,,
01194K,,CS,Bar Code,,8801047857570,EACH,,2024-07-29,,
01194K,,CS,Bar Code,,8801047859277,RETAIL 2023_05_09,,2024-07-29,,
01195K,,CS,Bar Code,,18801047859250,WH 2023_05_09,,2024-07-29,,
01195K,,CS,Bar Code,,8801047859253,RETAIL 2023_05_09,,2024-07-29,,
01199K,,CS,Bar Code,,18801047857881,CASE,,2024-07-29,,
01199K,,CS,Bar Code,,8801047857884,EACH,,2024-07-29,,
01208D,,CS,Bar Code,,081652012085,EACH,,2024-07-29,,
01208D,,CS,Bar Code,,10081652012082,CASE,,2024-07-29,,
01211D,,CS,Bar Code,,081652012115,RETAIL 2023_04_04,,2024-07-29,,
01211D,,CS,Bar Code,,10081652012112,WH 2023_04_04,,2024-07-29,,
01212D,,CS,Bar Code,,081652012122,RETAIL 2023_03_17,,2024-07-29,,
01212D,,CS,Bar Code,,10081652012129,WH 2023_03_17,,2024-07-29,,
01213D,,CS,Bar Code,,081652012139,RETAIL 2023_04_04,,2024-07-29,,
01213D,,CS,Bar Code,,10081652012136,WH 2023_04_04,,2024-07-29,,
01214D,,CS,Bar Code,,081652012146,RETAIL 2023_04_14,,2024-07-29,,
01214D,,CS,Bar Code,,10081652012143,WH 2023_04_14,,2024-07-29,,
01216D,,CS,Bar Code,,081652012160,RETAIL 2023_05_22,,2024-07-29,,
01216D,,CS,Bar Code,,10081652012167,WH 2023_05_22,,2024-07-29,,
01220D,,CS,Bar Code,,081652012207,RETAIL 2023_04_04,,2024-07-29,,
01220D,,CS,Bar Code,,10081652012204,WH 2023_04_04,,2024-07-29,,
01221D,,CS,Bar Code,,081652012214,EA,,2024-07-29,,
01221D,,CS,Bar Code,,10081652012211,BOX,,2024-07-29,,
01222D,,CS,Bar Code,,081652012221,RETAIL 2023_05_22,,2024-07-29,,
01222D,,CS,Bar Code,,10081652012228,WH 2023_05_22,,2024-07-29,,
01223D,,CS,Bar Code,,081652012238,EACH,,2024-07-29,,
01223D,,CS,Bar Code,,10081652012235,CS,,2024-07-29,,
02002D,,CS,Bar Code,,081652020028,EACH,,2024-07-29,,
02002D,,CS,Bar Code,,10081652020025,CASE,,2024-07-29,,
02008D,,CS,Bar Code,,081652020080,RETAIL 2023_03_17,,2024-07-29,,
02008D,,CS,Bar Code,,10081652020087,WH 2023_03_17,,2024-07-29,,
02019T,,CS,Bar Code,,18934734222034,CASE,,2024-07-29,,
02019T,,CS,Bar Code,,8934734222037,EACH,,2024-07-29,,
02020T,,CS,Bar Code,,18934734032039,WH 2023_04_04,,2024-07-29,,
02020T,,CS,Bar Code,,8934734032032,RETAIL 2023_04_04,,2024-07-29,,
02022T,,CS,Bar Code,,18934734082034,WH 2023_04_24,,2024-07-29,,
02022T,,CS,Bar Code,,8934734082037,RETAIL 2023_04_24,,2024-07-29,,
02023T,,CS,Bar Code,,18934734052037,CASE,,2024-07-29,,
02023T,,CS,Bar Code,,8934734052030,RETAIL 2023_04_24,,2024-07-29,,
02024T,,CS,Bar Code,,28934734102104,WH 2023_05_09,,2024-07-29,,
02024T,,CS,Bar Code,,8934734102100,RETAIL 2023_05_09,,2024-07-29,,
02026T,,CS,Bar Code,,18934734022030,WH 2023_05_09,,2024-07-29,,
02026T,,CS,Bar Code,,8934734022033,RETAIL 2023_05_09,,2024-07-29,,
02027D,,CS,Bar Code,,8711553010034,EACH,,2024-07-29,,
02027D,,CS,Bar Code,,8711553013912,,,2024-11-01,,
02029D,,BG,Bar Code,,BULK,,,2024-07-29,,
02030D,,CS,Bar Code,,081652020301,RETAIL 2023_04_04,,2024-07-29,,
02030D,,CS,Bar Code,,10081652020308,WH 2023_04_04,,2024-07-29,,
02032D,,CS,Bar Code,,081652020325,RETAIL 2023_05_22,,2024-07-29,,
02032D,,CS,Bar Code,,10081652020322,WH 2023_05_22,,2024-07-29,,
02035K,,CS,Bar Code,,18809087460146,CASE,,2025-04-15,,
02035K,,CS,Bar Code,,8809087460149,EACH,,2025-04-15,,
02041D,,BG,Bar Code,,BULK,,,2024-07-29,,
02048C,,CS,Bar Code,,081652020486,RETAIL 2023_04_24,,2024-07-29,,
02048C,,CS,Bar Code,,10081652020483,WH 2023_04_24,,2024-07-29,,
02054K,,CS,Bar Code,,28801176121539,WH 2023_05_22,,2024-07-29,,
02054K,,CS,Bar Code,,8801176121085,RETAIL 2023_04_04,,2024-07-29,,
02055K,,CS,Bar Code,,28801176101388,CASE,,2024-07-29,,
02055K,,CS,Bar Code,,8801176101179,EACH,,2024-07-29,,
02056D,,CS,Bar Code,,081652020561,RETAIL 2023_04_24,,2024-07-29,,
02056D,,CS,Bar Code,,10081652020568,WH 2023_04_24,,2024-07-29,,
02057K,,CS,Bar Code,,28801176101593,CASE,,2024-07-29,,
02057K,,CS,Bar Code,,8801176101186,EACH,,2024-07-29,,
02058K,,CS,Bar Code,,10081652020582,WH 2023_05_09,,2024-07-29,,
02058K,,CS,Bar Code,,8801176101018,EACH,,2024-07-29,,
02058K,,CS,Bar Code,,8801176111079,RETAIL 2023_05_09,,2024-07-29,,
02059K,,BG,Bar Code,,8801176101049,EACH,,2024-07-29,,
02064K,,CS,Bar Code,,081652020646,EACH,,2025-04-15,,
02064K,,CS,Bar Code,,10081652020643,CASE,,2025-04-15,,
02065K,,CS,Bar Code,,081652020653,RETAIL 2023_04_14,,2024-07-29,,
02065K,,CS,Bar Code,,10081652020650,WH 2023_04_14,,2024-07-29,,
02067D,,CS,Bar Code,,10761720071325,CASE,,2024-07-29,,
02075K,,BX,Bar Code,,8809087460088,EACH,,2024-07-29,,
02081K,,CS,Bar Code,,18801013797425,WH 2023_04_24,,2024-07-29,,
02081K,,CS,Bar Code,,8801013797428,RETAIL 2023_04_24,,2024-07-29,,
